X,Y,OBJECTID,Record_Num,Date_Updated,AgencySiteService,PublicComments,AgencyName,ServiceName,ServiceName2,SiteName,AlternateName,FormerName,LegalName,OfficePhone,TollFreePhone,TTYPhone,AfterHoursPhone,TextPhone,CrisisPhone,Fax,EMail,Website,SocialMedia,PrimaryContact,PrimaryContactEmail,PrimaryContactFax,PrimaryContactName,PrimaryContactPhone,PrimaryContactTitle,AlternateContact,VolunteerCoordinator,EmailForm,ParentAgencyRecordNum,ParentAgencyName,DescriptionAgency,LegalStatus,Established,PrimaryExecutive,PrimaryExecutiveEmail,PrimaryExecutiveFax,PrimaryExecutiveName,PrimaryExecutivePhone,PrimaryExecutiveTitle,AlternateExecutive,Funding,Elections,DescriptionService,Hours,Dates,Meetings,AreasServed,Boundaries,Eligibility,Application,Languages,Fees,AdditionalServices,SiteLocation,LocatedInCommunity,SiteBuilding,SiteCity,SiteCountry,SitePostalCode,SiteProvince,SiteStreetName,SiteStreetDirection,SiteStreetNum,SiteStreetType,SiteAddressSuffix,Longitude,Geocoding,Latitude,Intersection,MailBoxType,MailBuilding,Mail_CO,MailCity,MailCountry,MailPOBox,MailPostal,MailProvince,MailStreetName,MailStreetDirection,MailStreetNum,MailStreetType,MailAddressSuffix,PhysicalAccess,Taxonomy,AdditionalServiceSites,AgencySites,AgencyServices,RecordOwnerAgency
604542.4094,4816849.9225,21216,CCD0013,20240718,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Kids & Company Child Care Centre,Licensed Child Care Centre,Oakville - Joshua Creek,Oakville - Joshua Creek,,Monkey See Monkey Do - Joshua Creek,,905-257-0444,,,,,,,joshuacreek@kidsandcompany.com,kidsandcompany.com/locations/joshuacreek/,"Facebook: www.facebook.com/kidsandcompany
Instagram: www.instagram.com/kidcochildcare/
LinkedIn: https://www.linkedin.com/company/kids-and-company
X (Twitter): twitter.com/kidcochildcare
YouTube: www.","Ravdeep Kaur Toor, Centre Director",,,Ravdeep Kaur Toor,,Centre Director,Email: joshuacreek@kidsandcompany.com,,,BTN3201,Kids & Company Child Care Centre,,,2017,,,,,,,,Fees,,"<p>Government licensed child care centre for children aged 6 weeks to 6 years</p>
<ul>
<li>full days, full-time only - does not offer part time care</li>
<li>open Christmas break, March break and PA d",<p>Mon-Fri 7 am-6 pm</p>,<p>All year</p>,,"Mississauga ; Oakville",,Ages: 0.2 year(s) - 6 year(s),<p>Call for information</p>,English,"Program ; Fee assistance available ; assistance is provided by Halton Region.",,,Oakville,Shoppes on Dundas Plaza,Oakville,,L6H 0E9,ON,Prince Michael,,2501,Dr,E1,-79.706932,"Manual map placement
43.4972670, -79.7069320",43.497267,Dundas St E and Eighth Line,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
593466.9805,4819939.4128,21217,CCD0015,20240708,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Les Coccinelles,Licensed Child Care Centre,Milton - École élémentaire Dyane-Adam,Milton - École élémentaire Dyane-Adam,Les Coccinelles d'Oakville Inc.,,Les Coccinelles d'Oakville Inc.,365-877-6430,,,,,,,les.coccinelles@afeseo.ca,https://afeseo.ca/les-coccinelles/,Facebook: https://www.facebook.com/lescoccinellesinc/,"Nevine Ghali, Supervisor, Les Coccinelles; Phone: 365-877-6430; Email: nevine.ghali@afeseo.ca",nevine.ghali@afeseo.ca,,Nevine Ghali,365-877-6430,Supervisor,"Elise Robitaille, Coordinator; Phone: 905-825-2029; Email: elise.robitaille@afeseo.ca",,,OAK0469,Les Coccinelles,,,1979,"Annie Brooks, Executive Director, Les Coccinelles; Phone: 289-259-6607; Email: annie.brooks@afeseo.ca",annie.brooks@afeseo.ca,,Annie Brooks,289-259-6607,Executive Director,"Tina Lee, Regional Director, Les Coccinelles; Phone: 289-659-4476; Email: tina.lee@afeseo.ca","Regional / Municipal - subsidies ; Fundraising ; Donations ; United Way ; Fees",AGM October,"<p>Government licensed child care centre for children up to 13 years</p>
<ul>
<li>French-languiage Infant, toddler and preschool programs</li>
<li>Before and after school child care program: 4-12 year",<p>Mon-Fri 7 am-6 pm</p>,"<p>Daycare Sep-Aug, Before/after school Sep-Jun;</p>",,"Halton Region ; Milton",,"Ages: 13 year(s) and under

Before and after school program, PA days and March break camp for students of Dyane-Adam school",<p>Contact head office at 905-825-2029</p>,"English ; French - all programs offered exclusively in French","Program - vary per program; on website under Frais/Fees ; Fee assistance available ; assistance is provided by Halton Region.",EarlyON Child and Family Centre,,Milton,École élémentaire Dyane-Adam,Milton,,L9T 5K2,ON,Cedar Hedge,,500,Rd,,-79.843362,"Site Address data
43.5265470, -79.8433620",43.526547,Fourth Line and Derry Rd,,École élémentaire Du Chêne,Les Coccinelles,Oakville,,,L6M 1B8,ON,Ridge Drive,,150,,,Fully Accessible,"Child Care Centres ~ Francophone Community ; Extended Child Care ~ Francophone Community",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
607728.5107,4818364.544,21218,CCD0016,20240610,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Childventures Early Learning Academy,Licensed Child Care Centre,Oakville,Oakville,,,,905-337-9996,,,,,,,info@childventures.ca,childventures.ca/child-care-in-oakville/,"Facebook: www.facebook.com/ChildVentures.EarlyLearningAcademy
Instagram: www.instagram.com/childventures/
Pinterest: www.pinterest.com/childventures/
YouTube: https://www.youtube.com/c/ChildventuresEa","Kathryn Lowe, Director; Email: kathryn.lowe@childventures.ca",kathryn.lowe@childventures.ca,,Kathryn Lowe,,Director,,,,BTN4653,Childventures Early Learning Academy,,,2017,,,,,,,,Fees,,"<p>Government-licensed child care centre for children aged 0 to 12 years</p>
<ul>
<li>Full day program</li>
<li>Full-time or part-time</li>
<li>Junior and senior kindergarten</li>
<li>Can take limited",<p>Mon-Fri 7 am-6 pm</p>,<p>Open all year except statutory and Civic holidays</p>,,Oakville,,"Ages: 7 year(s) and under

Regular programming available up to Senior Kindergarten",<p>Call for information</p>,English,"Program ; Fee assistance available.",,,Oakville,,Oakville,,L6H 6P5,ON,Winston Park,,2025,Dr,,-79.667234,"Site Address data
43.5104490, -79.6672340",43.510449,Winston Churchill Blvd and Upper Middle Rd,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
608242.6066,4814621.4577,21219,CCD0051,20240606,"Agency ; Site ; Service",,Kinder Kids International Academy,Licensed Child Care Centre,,Oakville,Kinder Kids International Preschool,,,905-842-4497,,,,,,,,www.kinderkidsacademy.ca,Facebook: www.facebook.com/kinderkidsoakville,"Stephanie Good, Director; Email: stephanie-winter@staff.kinderkids.ed.jp",stephanie-winter@staff.kinderkids.ed.jp,,Stephanie Good,,Director,"Claudine Bowman, Supervisor; Email: claudine-v@staff.kinderkids.ed.jp",,,,,<p>Provides supervised care for children in a licensed facility.</p>,(60) Commercial,,,,,,,,,Fees,,"<p>Government licensed child care centre for children aged 6 months to 6 years.&nbsp;</p>
<ul>
<li>full day programs available&nbsp;</li>
<li>programming is fun and educational with a mix of Japanese ",<p>Mon-Fri 7 am-6 pm</p>,,,Oakville - and surrounding area,,Ages: 0.5 year(s) - 6 year(s),<p>Call for information</p>,English,"Program ; Fee assistance available ; assistance is provided by Halton Region.",,,Oakville,,Oakville,,L6J 7T5,ON,Cornwall,,1415,Rd,Unit 1-6,-79.66162,"Site Address data
43.4766800, -79.6616200",43.47668,Cornwall Rd and Maple Grove Dr,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
606322.4317,4809574.6455,21220,CCD0052,20240711,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Dearcroft Montessori School,Licensed Child Care Centre,Oakville - Rebecca St,Oakville - Rebecca St,Deacroft Rebecca,,,905-616-1439,,,,,,,info@dearcroftrebecca.com,dearcroft-montessori.com,"Blogger: www.dearcroft-montessori.com/blog/
Instagram: www.instagram.com/dearcroftmrebecca","Sarah Anderson, Administration",,,Sarah Anderson,,Administration,"Shari Nelson, Site Supervisor, Dearcroft Montessori School Rebecca Campus",,,OAK0439,Dearcroft Montessori School,,,,,,,,,,,Fees,,"<p>Government licensed child care centre for children 18 months to 6 years old</p>
<ul>
<li>CCMA-certified Montessori school &nbsp;</li>
<li>Toddler half/full day program &nbsp;</li>
<li>Casa half/ful","<ul>
<li>Toddler half day program: Mon-Fri 8:30 am-11:30 am</li>
<li>Toddler full day program: Mon-Fri 8:30 am-3:30 pm</li>
<li>Casa half day program (mornings): 8:45 am-11:30 am</li>
<li>Casa half day program (afternoons): 12:45 pm-3:30 pm</li>
<li>Casa full day program: 8:45 am-3:30 pm</li>
<li>Before and after school care: 7:30 am-start of school and end of school-6 pm</li>
</ul>",<p>Sep-Jun</p>,,"Halton Region ; Mississauga",,Ages: 1.5 year(s) - 6 year(s),<p>See website or email for application and registration information</p>,"English ; French",Program,,,Oakville,,Oakville,Canada,L6K 1K7,ON,Rebecca,,410,St,,-79.68634,"Site Address data
43.4315240, -79.6863400",43.431524,Rebecca St and Morden Rd,,,,,,,,,,,,,,Partially Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
608831.5654,4812677.1337,21221,CCD0060,20240917,Service,"<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Dearcroft Montessori School,Licensed Child Care Centre,Oakville - Lakshore Rd E,Oakville - Lakshore Rd E,,,,905-844-2114,,,,,,,info@dearcroft-montessori.com,dearcroft-montessori.com,"Blogger: https://dearcroftmontessori.com/blog/
Facebook: www.facebook.com/dearcroft
Instagram: www.instagram.com/dearcroft/
LinkedIn: https://www.linkedin.com/company/dearcroft-montessori-school/","Susanne Homer, Director of Operations",,,Susanne Homer,,Director of Operations,"Breanne Rymes, Principal",,,OAK0439,Dearcroft Montessori School,,,,,,,,,,,,,"<p>Government licensed child care centre for children 18 months to 6 years old.&nbsp;</p>
<ul>
<li>CCMA-certified Montessori school &nbsp;</li>
<li>Toddler half/full day program &nbsp;</li>
<li>Casa h","<p>Toddler half day program: Mon-Fri 8:30 am-11:30 am&nbsp;<br>Toddler full day program: Mon-Fri 8:30 am-3:30 pm&nbsp;<br>&nbsp;<br>Casa half day program (mornings): 8:45 am-11:30 am&nbsp;<br>Casa half day program (afternoons): 12:45 pm-3:30 pm&nbsp;<br>Casa full day program: 8:45 am-3:30 pm&nbsp;<br>Before and after school care: 8 am-start of school and end of school-6 pm</p>","<p>September to June annually.&nbsp;</p>",,"Halton Region ; Mississauga",,Ages: 1.5 year(s) - 6 year(s),"<p>See website or email for application and registration information.&nbsp;</p>","English ; French",Program,,,Old Oakville,,Oakville,Canada,L6J 1L3,ON,Lakshore,E,1167,Rd,,-79.654728,"Site Address data
43.4590920, -79.6547280",43.459092,Lakeshore Road East and Morrison Road,,,,,,,,,,,,,,Partially Accessible,"Child Care Centres ; Extended Child Care",Oakville - Lakshore Rd E,,,"The Halton Resource Connection, Child Care Directory and Information Line"
603604.3467,4815614.6924,21222,CCD0061,20240610,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Dearcroft Montessori School,Licensed Child Care Centre,Oakville - Dearcroft Trafalgar Crossing,Oakville - Dearcroft Trafalgar Crossing,Dearcroft Montessori Trafalgar Crossing,,,905-257-3200,,,,,,,info@dearcroftmontessoritc.com,dearcroftmontessoritc.com,"Blogger: www.dearcroft-montessori.com/blog/
Facebook: www.facebook.com/dearcroft
Instagram: www.instagram.com/dearcrofttc/","Niki Rockliffe, Admissions, Dearcroft Montessori Trafalgar Crossing",,,Niki Rockliffe,,Admissions,"Anna Campbell, Principal, Dearcroft Montessori Trafalgar Crossing",,,OAK0439,Dearcroft Montessori School,,,,,,,,,,,,,"<p>Government licensed child care centre for children 18 months to 6 years old.&nbsp;</p>
<ul>
<li>CCMA-certified Montessori school &nbsp;</li>
<li>Toddler half/full day program &nbsp;</li>
<li>Casa h","<ul>
<li>Toddler half day program: Mon-Fri 8:15 am-11:30 am</li>
<li>Toddler full day program: Mon-Fri 8:15 am-3:15 pm&nbsp;</li>
<li>Casa half day program (mornings): 8:30 am-11:30 am</li>
<li>Casa half day program (afternoons): 12:45 pm-3:30 pm</li>
<li>Casa full day program: 8:30 am-3:30 pm</li>
<li>Before and after school care: 7:30 am-start of school and end of school-6 pm</li>
</ul>",<p>Sep-Jun</p>,,"Milton ; Mississauga ; Oakville",,Ages: 1.5 year(s) - 6 year(s),"<p>See website or email for application and registration information.&nbsp;</p>","English ; French",Program,,Trafalgar and Dundas,North Oakville,,Oakville,Canada,L6H 3R6,ON,Oak Walk,,297,Dr,,-79.718767,"Site Address data
43.4862780, -79.7187670",43.486278,Trafalgar Rd and Dundas St E,,,,,,,,,,,,,,Partially Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
606543.5461,4811320.0784,21223,CCD0064,20241104,Service,"<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a>&nbsp;provides parents with free, personalized assistance in choosing child care. &nbs",Oakville Parent-Child Centre,Oakwood After School Program - Licensed Child Care Centre,,Oakville - Oakwood Public School,,,,905-849-6366,,,,,,,info@op-cc.ca,www.op-cc.ca/unparented-programs/after-school-program.html,,,,,,,,,,,OAK0156,Oakville Parent-Child Centre,,,,,,,,,,,,,<p>After school program for school-age children that attend Oakwood Public School up to age 10</p>,<p>Mon-Fri 2:35 pm-6 pm</p>,,,Oakville,,Ages: 4 year(s) - 10 year(s),<p>Call for more information</p>,English,Program,,,Oakville,Oakwood Public School,Oakville,Canada,L6K 3E5,ON,Bartos,,357,Dr,,-79.683268,"Site Address data
43.4472050, -79.6832680",43.447205,Bartos Dr and Stewart St,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",Oakville - Oakwood Public School,,,"The Halton Resource Connection, Child Care Directory and Information Line"
601597.9569,4813975.8305,21224,CCD0082,20240610,"Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",YMCA of Oakville,Licensed Child Care Centre,Oakville - Oodenawi Public School,Oakville - Oodenawi Public School,SACC,,,905-842-6639,,,,,,,jessicasi@oakville.ymca.ca,www.ymcaofoakville.org/child-care/,"Facebook: www.facebook.com/YMCAOakville
Instagram: www.instagram.com/ymcaofoakville/
LinkedIn: www.linkedin.com/company/ymca-of-oakville
X (Twitter): twitter.com/YMCAOakville
YouTube: www.youtube.com/","Jessica Sit, Director, Child Care, YMCA of Oakville; Phone: 905-842-6639; Email: jessicasi@oakville.ymca.ca",jessicasi@oakville.ymca.ca,,Jessica Sit,905-842-6639,"Director, Child Care","Christien Baron, YMCA of Oakville-Oodenawi; Phone: 905-510-8154; Email: oodenawisacc@oakville.ymca.ca",,,OAK0362,YMCA of Oakville,,,,"Lorraine Pettinato, Vice President, Child Care, YMCA of Oakville; Phone: 905-845-5597 ext 2400; Email: lorrainepe@oakville.ymca.ca",lorrainepe@oakville.ymca.ca,,Lorraine Pettinato,905-845-5597 ext 2400,"Vice President, Child Care",,,,<p>Government licensed before and after school child care program within the school</p>,<p>Mon-Fri 7 am-6 pm</p>,<p>Sep-Jun</p>,,Oakville,,"Ages: 3.8 year(s) - 12 year(s)

Students of Oodenawi Public School","<p>Registrations are processed on a first come, first served basis * full time participants are considered before part time participants</p>",English,"Program ; Fee assistance available for those assessed to have financial need ; assistance is provided by YMCA / Halton Region..",,,Oakville,Oodenawi Public School,Oakville,,L6M 0Z4,ON,Sixteen Mile,,385,Dr,,-79.743879,"Site Address data
43.4718000, -79.7438790",43.4718,Neyagawa Blvd and Dundas St W,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
607246.5345,4815392.3516,21225,CCD0093,20240606,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",IDEA Lab Kids - East Oakville,Licensed Child Care Centre,,Oakville,IDEA Lab Kids East Oakville,,,905-844-3717,,,,,,,eastoakville@idealabkids.com,idealabkids.com/location/eastoakville/,"Facebook: https://www.facebook.com/idealabkids.EastOakville
Instagram: https://www.instagram.com/idealabkids.eastoakville/
Pinterest: https://www.pinterest.ca/search/pins/?q=Idea%20Lab%20Kids
YouTube:","Ryan Natividad, Centre Director",,,Ryan Natividad,,Centre Director,"Shurong Wang, Owner/Operator",,,,,"<ul>
<li>Idea Lab Kids is an international organization providing STEAM camps, classes, workshops, and birthday parties for kids ages 4&ndash;12.</li>
<li>Students can learn various enrichment in Scie",(60) Commercial,,,,,,,,,Fees,,"<p>Licensed Child Care Program for children aged 4 to 12 years</p>
<ul>
<li>After school programs</li>
<li>Summer Camps</li>
<li>STEAM (Science, Technology, Engineering, Arts, and Mathematics) enrichm","<ul>
<li>Mon-Fri 4 pm-6 pm (After School Program)</li>
<li>Mon-Fri 9 am-3:30 pm (Summer Camp)</li>
</ul>",,,Oakville,,Ages: 4 year(s) - 12 year(s),<p>Call or Email for information</p>,English,Program,,,Oakville,,Oakville,,L6H 1A7,ON,North Service,E,1393,Rd,Unit 104,-79.673781,"Site Address data
43.4837630, -79.6737810",43.483763,Joshuas Creek Dr and North Service Rd E,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Day Camps ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
589635.6618,4819715.059,21226,CCD0100,20240723,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Silver Maple Montessori Private School,Licensed Child Care Centre,,Milton,,,,905-636-1611,,,,,,,admin@silvermaplemontessori.com,silvermaplemontessori.com,"Facebook: https://www.facebook.com/Silvermaplemontessori/
Instagram: https://www.instagram.com/silvermaplemontessori","Maleeha Imran-Khan, Director",,,Maleeha Imran-Khan,,Director,,,,,,<p>Provides supervised care for children in a licensed and authentic Montessori School.</p>,(60) Commercial,2018,,,,,,,,"Fees ; Private",,"<p>Government licensed child care centre for children aged 18 months to 6 years</p>
<ul>
<li>CCMA accredited Montessori program</li>
<li>Authentic Montessori curriculum&nbsp;</li>
<li>Beautiful herita","<p>Mon-Fri 8:20 am-3:20 pm, extended day 7:30 am-5:30 pm</p>",,,"Brampton ; Georgetown ; Milton ; Oakville",,Ages: 1.5 year(s) - 6 year(s),"<p>Call, email or fill out <a href=""https://portal.schoolcues.com/Portal/PreEnrollment/Index/55E27D0E-9FC1-494C-8D76-7FBD553F3774"">online admission form</a></p>","English ; French",Program,,,Milton,,Milton,,L9T 3G6,ON,Steeles,E,345,Ave,,-79.890802,"Site Address data
43.5249970, -79.8908020",43.524997,Ontario St and Steeles Ave,,,,,,,,,,,,,,"Partially Accessible ; Designated parking at entrance ; Barrier-free washroom including door and stall ; Same age group classroom upstairs and downstairs",Child Care Centres,,,,"The Halton Resource Connection, Child Care Directory and Information Line"
600259.1203,4811458.6135,21227,CCD0107,20240619,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Prestige Montessori School,Licensed Child Care Centre,,Oakville,,,,905-825-8804,,,,,,905-825-2889,prestige@bellnet.ca,www.prestigemontessori.com,Facebook: https://www.facebook.com/prestigemontessori,"Claudia Abramowitz, Head of School",,,Claudia Abramowitz,,Head of School,,,,,,<p>Provides supervised care for children in a licensed facility.</p>,(60) Commercial,,,,,,,,,Fees,,"<p>Government licensed child care for children aged 16 months to 7 years</p>
<ul>
<li>Montessori curriculum</li>
<li>Montessori certified teachers</li>
<li>strong emphasis placed on reading, writing a",<p>Mon-Fri 7:30 am-6 pm</p>,,,"Burlington ; Milton ; Oakville",,Ages: 1.5 year(s) - 7 year(s),<p>Call office to arrange a tour</p>,"English ; French ; Spanish",Program,,,Oakville,,Oakville,,L6M 0G8,ON,Third,,2530,Line,,-79.760891,"Site Address data
43.4493200, -79.7608910",43.44932,Third Line and Dundas St W,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
606152.1332,4813570.2897,21228,CCD0109,20240606,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Wee Watch Oakville Licensed Home Child Care Agency,Licensed Home Child Care,,Oakville Locations,Bronte Day Care Services Inc.,Bronte Day Care Services Inc.,Bronte Day Care Services Inc.,905-631-8500,,,,,,,weewatch114@outlook.com,www.weewatch.com/parents/child-care-services-oakville/,"Facebook: www.facebook.com/weewatchoakville/
Instagram: https://www.instagram.com/weewatchoakville/
X (Twitter): twitter.com/Wee_Watch
YouTube: https://www.youtube.com/@weewatchlicensedhomechildcare/","Bonnie Robertson, Agency Supervisor; Email: weewatch114@outlook.com",weewatch114@outlook.com,,Bonnie Robertson,,Agency Supervisor,"Tara Foye; Phone: 905-630-1754",,,,,"<p>A Ministry licensed non-profit child care agency which assists families in finding child care as well as assists potential Providers in opening up their own licensed child care in their home.&nbsp;",(60) Commercial,1987,"Kimberly Leite, Board President; Phone: 416-670-6171; Email: kimsvelocci@rogers.com",kimsvelocci@rogers.com,,Kimberly Leite,416-670-6171,Board President,,"Regional / Municipal ; Fees",Jan,"<p>Government licensed child care in private homes throughout Oakville and Mississauga</p>
<ul>
<li>for infants and children ages six weeks and older&nbsp;</li>
<li>some before and after-school progra",<p>Office Mon-Fri 8:30 am-4:30 pm</p>,,,Oakville,,"Ages: 4 year(s) and under

Children 6 weeks-4 years old","<p>Application may be requested by phone or completed on <a href=""https://myweetrack.com/NewChildApplication"" target=""_blank"">web site</a></p>",English,"Service - rates provided upon request ; Fee assistance available ; assistance is provided by Halton Region Child Care Subsidy.",,,Oakville,,Oakville,,,ON,,,,,,-79.687666,"Site Address data
43.4675170, -79.6876660",43.467517,,,,,Burlington,,,L7T 1E4,ON,Fairwood,W,59,Place,,Not Accessible,"Extended Child Care ; Family Child Care Homes ; Nongovernmental Agency Departments ~ Child Care Issues ; Weekend Child Care",,Home Child Care Provider WWO0196 * Home Child Care Provider WWO0203 * Home Child Care Provider WWO0208 * Home Child Care Provider WWO0209 * Home Child Care Provider WWO0378 * Home Child Care Provider ,Home Child Care Provider WWO0196 * Home Child Care Provider WWO0203 * Home Child Care Provider WWO0208 * Home Child Care Provider WWO0209 * Home Child Care Provider WWO0378 * Home Child Care Provider ,"The Halton Resource Connection, Child Care Directory and Information Line"
595118.0768,4800085.877,21229,CCD0115,20240610,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Lakewood Montessori Christian School,Licensed Child Care Centre,,Burlington,,,Lakewood Montessori School Inc.,289-245-1717,,,437-876-2054,,,,kats111@yahoo.com,lakewoodmontessori.ca,"Facebook: www.facebook.com/lakewoodchristianmontessorischool/
Instagram: www.instagram.com/lakewood_montessori_school/","Katherine Shave, Head of School; Phone: 437-876-2054",,,Katherine Shave,437-876-2054,Head of School,,,,,,"<p>Provides supervised care, Montessori curriculum for children in a licensed facility.</p>",(60) Commercial,2017,"Katherine Shave, Head of School / Licensee, Lakewood Montessori School; Phone: 289-245-1717 * 437-876-2054",,,Katherine Shave,289-245-1717 * 437-876-2054,Head of School / Licensee,,Fees,,"<p>Government licensed child care centre for children aged 16 months to 6 years</p>
<ul>
<li>full day Montessori academic program for toddlers and preschoolers</li>
<li>full day Montessori academic Ju",<p>Mon-Fri 7:30 am-5:30 pm</p>,,,Halton Region,,Ages: 1.4 year(s) - 6 year(s),"<p>Registration forms <a href=""https://lakewoodmontessori.ca/admissions/"" target=""_blank"">available online</a></p>","English ; Portuguese ; Punjabi ; Spanish",Program,,,Burlington,,Burlington,Canada,L7P 1A8,ON,Mountainside,,2054,Dr,,-79.826394,"Site Address data
43.3476070, -79.8263940",43.347607,Mt Forest Dr and Brant St,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
595893.2791,4799869.8885,21230,CCD0123,20240610,"Agency ; Site ; Service","<p><a href=""http://www.hipinfo.ca/record/OAK2712"">The Halton Child Care Directory and Information Line (CCDIL)</a> provides parents with free, personalized assistance in choosing child care. &nbsp;<br",Tiny Hoppers Early Learning Centre,Licensed Child Care Centre,,Burlington,,,,905-331-0990,,,,,,,burlingtonsouth@tinyhoppers.ca,www.tinyhoppers.ca/burlington-south/,"Instagram: https://www.instagram.com/tinyhoppersburlingtonsouth/
YouTube: https://www.youtube.com/watch?v=ZpYlFWKBsy0","Gillian Mathias, Owner/Director, Tiny Hoppers Burlington South; Phone: 905-331-0990; Email: burlingtonsouth@tinyhoppers.ca",burlingtonsouth@tinyhoppers.ca,,Gillian Mathias,905-331-0990,Owner/Director,"Sheriene Milad, Owner/Operator; Phone: 905-331-0990; Email: burlingtonsouth@tinyhoppers.ca",,,,,<p>Provides supervised care for children in a licensed facility.</p>,(60) Commercial,2015,,,,,,,,Fees,,<p>Government licensed child care centre for children aged 6 months to 6 years</p>,<p>Mon-Fri 7 am-6 pm</p>,,,"Burlington - South ; Hamilton ; Oakville ; Waterdown",,Ages: 0.5 year(s) - 6 year(s),<p>Contact centre for details</p>,English,Program,,,Burlington,,Burlington,,L7P 0N6,ON,Industrial,,2204,St,,-79.816869,"Site Address data
43.3455640, -79.8168690",43.345564,Brant St and North Service Rd,,,,,,,,,,,,,,Fully Accessible,"Child Care Centres ; Extended Child Care",,,,"The Halton Resource Connection, Child Care Directory and Information Line"
